"ROI#","ROI ID","Canonical","uCT #","uCT qual","Tree ID","Tree name"
136,"ef","",199,2,197,"199 (ef)"
137,"eg","32_L",254,2,199,"254 (eg)"
138,"eh","",207,2,527,"207 (eh)"
139,"ei","",203,2,198,"203 (ei)"
140,"ej","",204,2,192,"204 (ej)"
141,"ek","",205,2,201,"205 (ek)"
142,"el","",202,1,"",""
143,"em","42_L",388,1,207,"388 (em)"
144,"en","",201,1,202,"201 (en)"
145,"eo","",217,1,206,"217 (eo)"
146,"ep","39_L",253,1,"",""
147,"eq","",128,2,133,"128 (eq)"
148,"er","8_L",116,2,129,"116 (er)"
149,"es","",115,2,84,"115 (es)"
150,"et","",117,2,96,"117 (et)"
151,"eu","125_L",146,2,130,"146 (eu) + 1.pres.p.274+275+276+277+278+279+280 +293 + 395"
152,"ev","",145,2,86,"145 (ev)"
153,"ew","118_L",121,2,118,"121 (ew)"
154,"ex","120_L",126,2,"",""
155,"ey","",132,2,87,"132 (ey)"
156,"ez","",119,2,107,"119 (ez)"
157,"fa","119_L",143,2,106,"143 (fa)"
158,"fb","102_L",149,2,104,"149 (fb)"
159,"fc","",144,2,105,"144 (fc)"
160,"fd","106_L",151,2,39,"151 (fd)"
161,"fe","104_L","","","",""
162,"ff","108_L",150,2,117,"150 (ff)"
163,"fg","111_L",118,2,108,"118 (fg)"
164,"fh","110_L",176,2,111,"176 (fh)"
165,"fi","117_L",133,2,98,"133 (fi-uncertain)+ 161"
166,"fj","121_L",135,2,123,"135 (fj)"
167,"fk","107_L",173,2,12,"173 (fk)"
168,"fl","38_L",198,2,"",""
169,"fm","",214,2,179,"214 (fm)"
170,"fn","Ley_R",317,2,327,"317 pres.part.1"
171,"fo","1_R",66,2,545,"66 (fo-1R)+1.pres.p.35+60 + 61+69+70+71 + 105 +122 + 126+131 + 134+135+136+137+138+139+140 +141 +142 + 149 +152 +153 +154 + 163+164 + 165 +166+167 + 169 + 228 +259+260+261 +262 +263 +264 + 265 +266 + 267 +268 +313 + 392 +393 + 399+400  + 411 + 413 +422 +451 + 473+474"
172,"fp","2_R",67,2,268,"67 (fp) + 1.pres.p.378 +379"
173,"fq","7_R",44,2,"",""
174,"fr","3_R",1,2,444,"1 (fr)"
175,"fs","4_R",65,2,487,"65 (fs)(uncertain partner)+1.pres.p.62 + 552 + 455"
176,"ft","5_R",90,2,431,"90 (ft) (uncertain partner)1.pres.p.32 + 53+104 + 343 + 440"
177,"fu","6_R",43,2,546,"43 (fu) (uncertain partner) + 1 pres.p.1 +25+63+67 +135-140' + 66 (fo)+1.pres.p.35+60 + 61+69+70+71 + 105 +122 + 126+131 + 134+406 +421 +423+428 + 429"
178,"fv","8_R",91,2,245,"91 (fv)+ 1.pres.p.99+146 +298 +315+316 + 360 +388 + 426 + 434+435+436 +441+442 +471"
179,"fw","L_R",81,2,609,"81 (fw)+1.pres.p.228+443 + 444"
180,"fx","20_R",75,2,478,"75 (fx)+1.pres.p.445+446+447 + -"
181,"fy","19_R",74,2,262,"74 (fy)"
182,"fz","12_R",42,2,"",""
183,"ga","10_R",40,2,519,"40 (ga-10R)+1.pres.p.48 + 24+49+50+71+93+94 +95+117+118 +119+120+121 +132 + 133 +234 +420"
184,"gb","9_R",39,2,267," 39(gb)+1.pres.p."
185,"gc","11_R",60,2,264,"60 (gc)"
186,"gd","",59,2,274,"59 (gd)"
187,"ge","",70,2,272,"70 (ge)"
188,"gf","",72,2,263,"72 (gf)"
189,"gg","",68,2,278,"68 (gg)"
190,"gh","",61,2,587,"61(gh)+1.pres.p.361"
191,"gi","",62,2,504,"62 (gi)+1.pres.p.42+82 + 143+145+146+215 + 236 + 237 + 376 + 377 +403+404+405 + 427"
192,"gj","","","","",""
193,"gk","",395,2,273,"395 (gk)"
194,"gl","",63,2,"",""
195,"gm","","","","",""
196,"gn","",58,2,588,"58(gn)+1.pres.p.365+366 + 367 +168+369+370+371"
197,"go","",64,2,410,"64 (go) - 1.pres.p.29"
198,"gp","",258,0,"",""
199,"gq","29_R",55,0,409,"55 (gq-29R) + 1.pres.p.26+27+28 +364"
200,"gr","",47,1,297,"47 (gr)"
201,"gs","37_R",48,1,300,"48 (gs)"
202,"gt","",57,0,"",""
203,"gu","",56,0,"",""
204,"gv","",46,1,"",""
205,"gw","",49,1,305,"49 (gw)"
206,"gx","","","","",""
207,"gy","",50,0,299,"50 (gy)"
208,"gz","41_R","","","",""
209,"ha","","","","",""
210,"hb","",299,0,306,"299 (hb)"
211,"hc","","","","",""
212,"hd","27_R",53,2,290,"53 (hd)"
213,"he","101_R",106,2,483,"106 (he)+1.pres.p.57 + 344"
214,"hf","125_R",107,2,52,"107 (hf-125) + 1.pres.p.108+168"
215,"hg","102_R",97,0,507,"97 (hg-102R)+1.pres.32+83 + 357+358"
216,"hh","",293,2,61,"293 (hh)"
217,"hi","",108,2,615,"108 (hi)"
218,"hj","",100,2,217,"100 (hj)"
219,"hk","126_R",101,2,69,"101 (hk)"
220,"hl","127_R",105,2,"",""
221,"hm","128_R",102,2,"",""
222,"hn","117_R",103,2,70,"103 (hn-103R) + 1.pres.p.180 +181+182 +254+255 + 257 + 258 +290+291+292 +295+296 +341+342 +363 + 438"
