"phi","r","g","b"
0.225,0.946992,1,0
0.226,0.946522,1,0
0.227,0.946052,1,0
0.228,0.945559,1,0
0.229,0.945066,1,0
0.23,0.944572,1,0
0.231,0.944078,1,0
0.232,0.943584,1,0
0.233,0.943089,1,0
0.234,0.942594,1,0
0.235,0.942098,1,0
0.236,0.941603,1,8.5318e-17
0.237,0.941107,1,0
0.238,0.94061,1,0
0.239,0.940113,1,0
0.24,0.939616,1,0
0.241,0.939119,1,0
0.242,0.938621,1,0
0.243,0.938123,1,0
0.244,0.937624,1,0
0.245,0.937114,1,8.15125e-17
0.246,0.936593,1,0
0.247,0.936071,1,0
0.248,0.935548,1,5.45394e-17
0.249,0.935026,1,0
0.25,0.934503,1,0
0.251,0.933979,1,0
0.252,0.933455,1,0
0.253,0.932931,1,0
0.254,0.932406,1,0
0.255,0.931881,1,9.06975e-17
0.256,0.931356,1,2.0124e-16
0.257,0.93083,1,0
0.258,0.930304,1,6.37244e-17
0.259,0.929778,1,0
0.26,0.929251,1,0
0.261,0.928723,1,0
0.262,0.928195,1,0
0.263,0.927646,1,0
0.264,0.927096,1,1.30958e-16
0.265,0.926545,1,0
0.266,0.925994,1,0
0.267,0.925443,1,0
0.268,0.924891,1,0
0.269,0.924339,1,0
0.27,0.923786,1,0
0.271,0.923233,1,0
0.272,0.922679,1,0
0.273,0.922125,1,0
0.274,0.921571,1,0
0.275,0.921016,1,0
0.276,0.920461,1,0
0.277,0.919905,1,0
0.278,0.919349,1,0
0.279,0.918792,1,1.01292e-16
0.28,0.918225,1,0
0.281,0.917646,1,0
0.282,0.917068,1,2.57806e-16
0.283,0.916488,1,0
0.284,0.915909,1,0
0.285,0.915329,1,0
0.286,0.914748,1,8.76909e-17
0.287,0.914167,1,3.49427e-17
0.288,0.913585,1,0
0.289,0.913003,1,0
0.29,0.91242,1,0
0.291,0.911837,1,0
0.292,0.911254,1,0
0.293,0.91067,1,1.38372e-16
0.294,0.910085,1,0
0.295,0.9095,1,5.3315e-17
0.296,0.908914,1,0
0.297,0.908328,1,0
0.298,0.907722,1,2.1174e-17
0.299,0.907115,1,0
0.3,0.906507,1,0
0.301,0.905899,1,0
0.302,0.90529,1,0
0.303,0.904681,1,0
0.304,0.904071,1,0
0.305,0.903461,1,0
0.306,0.90285,1,0
0.307,0.902238,1,1.08331e-17
0.308,0.901626,1,0
0.309,0.901014,1,1.76998e-16
0.31,0.900401,1,0
0.311,0.899787,1,0
0.312,0.899173,1,4.72037e-17
0.313,0.898558,1,1.30286e-16
0.314,0.897943,1,2.13368e-16
0.315,0.897318,1,8.48829e-17
0.316,0.896683,1,0
0.317,0.896047,1,0
0.318,0.895411,1,0
0.319,0.894774,1,0
0.32,0.894136,1,7.7537e-17
0.321,0.893498,1,2.59639e-19
0.322,0.892859,1,0
0.323,0.89222,1,0
0.324,0.89158,1,0
0.325,0.890939,1,0
0.326,0.890298,1,0
0.327,0.889656,1,0
0.328,0.889014,1,0
0.329,0.888371,1,0
0.33,0.887727,1,0
0.331,0.887083,1,0
0.332,0.886438,1,0
0.333,0.885775,1,0
0.334,0.885111,1,0
0.335,0.884446,1,0
0.336,0.883781,1,0
0.337,0.883115,1,0
0.338,0.882448,1,0
0.339,0.881781,1,1.21631e-17
0.34,0.881113,1,0
0.341,0.880444,1,0
0.342,0.879775,1,0
0.343,0.879105,1,0
0.344,0.878434,1,1.77979e-16
0.345,0.877763,1,0
0.346,0.877091,1,0
0.347,0.876418,1,0
0.348,0.875745,1,0
0.349,0.875071,1,0
0.35,0.874388,1,0
0.351,0.873696,1,0
0.352,0.873003,1,0
0.353,0.87231,1,1.42848e-17
0.354,0.871615,1,0
0.355,0.87092,1,0
0.356,0.870225,1,0
0.357,0.869528,1,0
0.358,0.868831,1,0
0.359,0.868133,1,1.16779e-16
0.36,0.867434,1,0
0.361,0.866735,1,0
0.362,0.866035,1,0
0.363,0.865334,1,0
0.364,0.864632,1,0
0.365,0.86393,1,0
0.366,0.863227,1,0
0.367,0.862523,1,1.43697e-17
0.368,0.861803,1,0
0.369,0.861082,1,0
0.37,0.860361,1,0
0.371,0.859638,1,0
0.372,0.858915,1,0
0.373,0.858191,1,0
0.374,0.857466,1,0
0.375,0.856741,1,0
0.376,0.856014,1,0
0.377,0.855287,1,0
0.378,0.854559,1,0
0.379,0.85383,1,0
0.38,0.853101,1,0
0.381,0.85237,1,8.96405e-17
0.382,0.851639,1,0
0.383,0.850907,1,0
0.384,0.850174,1,0
0.385,0.849433,1,0
0.386,0.848684,1,0
0.387,0.847935,1,0
0.388,0.847184,1,0
0.389,0.846433,1,0
0.39,0.84568,1,0
0.391,0.844927,1,0
0.392,0.844173,1,0
0.393,0.843418,1,0
0.394,0.842662,1,0
0.395,0.841906,1,0
0.396,0.841148,1,0
0.397,0.840389,1,0
0.398,0.83963,1,9.49066e-17
0.399,0.83887,1,7.35692e-17
0.4,0.838108,1,5.22318e-17
0.401,0.837346,1,3.08944e-17
0.402,0.836583,1,9.55695e-18
0.403,0.835807,1,0
0.404,0.83503,1,0
0.405,0.834251,1,0
0.406,0.833472,1,3.39707e-17
0.407,0.832691,1,0
0.408,0.83191,1,0
0.409,0.831128,1,0
0.41,0.830345,1,0
0.411,0.829561,1,0
0.412,0.828775,1,0
0.413,0.827989,1,0
0.414,0.827202,1,0
0.415,0.826414,1,5.2238e-17
0.416,0.825625,1,5.33904e-18
0.417,0.824835,1,0
0.418,0.824044,1,0
0.419,0.823252,1,0
0.42,0.822454,1,0
0.421,0.821648,1,0
0.422,0.820842,1,0
0.423,0.820035,1,8.67321e-17
0.424,0.819227,1,0
0.425,0.818418,1,0
0.426,0.817607,1,3.5087e-18
0.427,0.816796,1,0
0.428,0.815984,1,0
0.429,0.81517,1,0
0.43,0.814356,1,0
0.431,0.81354,1,0
0.432,0.812723,1,0
0.433,0.811905,1,0
0.434,0.811087,1,0
0.435,0.810267,1,1.1244e-16
0.436,0.809446,1,2.11046e-16
0.437,0.808624,1,3.09652e-16
0.438,0.807791,1,2.50972e-16
0.439,0.806957,1,0
0.44,0.806123,1,0
0.441,0.805287,1,0
0.442,0.804449,1,0
0.443,0.803611,1,0
0.444,0.802772,1,0
0.445,0.801931,1,0
0.446,0.80109,1,0
0.447,0.800247,1,1.2851e-17
0.448,0.799403,1,0
0.449,0.798557,1,0
0.45,0.797711,1,0
0.451,0.796863,1,0
0.452,0.796015,1,0
0.453,0.795165,1,0
0.454,0.794314,1,0
0.455,0.793458,1,0
0.456,0.792597,1,0
0.457,0.791734,1,2.52331e-17
0.458,0.790871,1,0
0.459,0.790006,1,0
0.46,0.78914,1,0
0.461,0.788273,1,0
0.462,0.787404,1,0
0.463,0.786535,1,2.18652e-16
0.464,0.785664,1,1.87715e-16
0.465,0.784791,1,0
0.466,0.783918,1,0
0.467,0.783043,1,9.49033e-17
0.468,0.782167,1,0
0.469,0.78129,1,0
0.47,0.780411,1,0
0.471,0.779531,1,0
0.472,0.77865,1,0
0.473,0.777762,1,0
0.474,0.776872,1,0
0.475,0.775981,1,0
0.476,0.775089,1,0
0.477,0.774195,1,0
0.478,0.7733,1,8.44623e-17
0.479,0.772404,1,0
0.48,0.771506,1,0
0.481,0.770607,1,0
0.482,0.769707,1,0
0.483,0.768805,1,0
0.484,0.767902,1,0
0.485,0.766997,1,0
0.486,0.766091,1,1.07398e-16
0.487,0.765184,1,0
0.488,0.764275,1,1.3262e-17
0.489,0.763365,1,0
0.49,0.762451,1,0
0.491,0.761535,1,1.38187e-17
0.492,0.760617,1,0
0.493,0.759697,1,0
0.494,0.758776,1,0
0.495,0.757854,1,0
