"phi","r","g","b"
0.981,8.00328e-16,1,0.118179
0.982,2.55284e-16,1,0.121758
0.983,0,1,0.125238
0.984,1.66607e-15,1,0.128626
0.985,0,1,0.131929
0.986,0,1,0.135153
0.987,2.20811e-17,1,0.138302
0.988,1.62816e-15,1,0.14138
0.989,0,1,0.144392
0.99,0,1,0.147342
0.991,3.42283e-16,1,0.150233
0.992,1.04644e-15,1,0.153068
0.993,1.57426e-15,1,0.15585
0.994,4.82456e-16,1,0.158581
0.995,1.91218e-15,1,0.161265
0.996,2.26069e-15,1,0.163902
0.997,8.13242e-16,1,0.166496
0.998,0,1,0.169242
0.999,1.57259e-15,1,0.17196
1,1.46257e-15,1,0.174632
1.001,0,1,0.177262
1.002,1.60801e-15,1,0.17985
1.003,2.46329e-16,1,0.1824
1.004,1.21556e-15,1,0.184911
1.005,1.10553e-15,1,0.187386
1.006,1.53981e-15,1,0.189827
1.007,0,1,0.192234
1.008,0,1,0.194608
1.009,1.58162e-15,1,0.196951
1.01,1.4716e-15,1,0.199264
1.011,1.09916e-16,1,0.201548
1.012,1.61705e-15,1,0.203804
1.013,2.5536e-16,1,0.206033
1.014,3.30541e-16,1,0.208235
1.015,1.08245e-15,1,0.210479
1.016,0,1,0.212792
1.017,3.46048e-16,1,0.215077
1.018,1.13962e-15,1,0.217335
1.019,0,1,0.219567
1.02,0,1,0.221774
1.021,1.91793e-15,1,0.223957
1.022,0,1,0.226116
1.023,6.43625e-16,1,0.228252
1.024,7.23432e-16,1,0.230366
1.025,1.15889e-15,1,0.232458
1.026,0,1,0.234529
1.027,4.28886e-16,1,0.23658
1.028,8.64345e-16,1,0.23861
1.029,2.2744e-16,1,0.240621
1.03,1.2072e-15,1,0.242613
1.031,3.07362e-15,1,0.244587
1.032,0,1,0.246542
1.033,1.02283e-15,1,0.248603
1.034,1.09723e-15,1,0.250655
1.035,9.87743e-17,1,0.252689
1.036,0,1,0.254704
1.037,1.49924e-15,1,0.2567
1.038,5.00789e-16,1,0.258679
1.039,2.09704e-16,1,0.260641
1.04,2.08007e-15,1,0.262586
1.041,3.40613e-15,1,0.264514
1.042,3.65934e-15,1,0.266426
1.043,1.23042e-15,1,0.268322
1.044,9.39332e-16,1,0.270203
1.045,1.19254e-15,1,0.272068
1.046,4.50125e-15,1,0.273919
1.047,2.77182e-15,1,0.275756
1.048,3.39101e-15,1,0.277578
1.049,3.09993e-15,1,0.279386
1.05,2.62451e-15,1,0.281228
1.051,1.75636e-15,1,0.283122
1.052,4.10826e-15,1,0.285001
1.053,4.67058e-15,1,0.286866
1.054,1.65082e-15,1,0.288717
1.055,2.02647e-15,1,0.290554
1.056,3.84784e-15,1,0.292377
1.057,3.51022e-15,1,0.294187
1.058,4.07254e-15,1,0.295984
1.059,3.7423e-15,1,0.297769
1.06,2.68747e-15,1,0.29954
1.061,3.2498e-15,1,0.3013
1.062,4.53671e-15,1,0.303047
1.063,3.2952e-15,1,0.304783
1.064,3.14426e-15,1,0.306506
1.065,1.91013e-15,1,0.308219
1.066,2.47246e-15,1,0.30992
1.067,3.93867e-15,1,0.31161
1.068,1.58769e-15,1,0.313378
1.069,4.9677e-15,1,0.315143
1.07,3.86911e-15,1,0.316896
1.071,4.37244e-15,1,0.318638
1.072,3.45316e-15,1,0.320368
1.073,3.78505e-15,1,0.322087
1.074,2.67909e-15,1,0.323796
1.075,2.47652e-15,1,0.325493
1.076,2.80891e-15,1,0.32718
1.077,1.88176e-15,1,0.328857
1.078,7.83175e-16,1,0.330524
1.079,1.2865e-15,1,0.33218
1.08,1.87917e-16,1,0.333827
1.081,3.56793e-15,1,0.335464
1.082,0,1,0.337092
1.083,1.11721e-16,1,0.33871
1.084,6.22914e-16,1,0.340318
1.085,5.37305e-16,1,0.341953
1.086,1.64562e-15,1,0.343629
1.087,7.61463e-16,1,0.345295
1.088,1.86929e-15,1,0.346951
1.089,2.79728e-16,1,0.348598
1.09,0,1,0.350236
1.091,1.76293e-15,1,0.351864
1.092,0,1,0.353484
1.093,0,1,0.355094
1.094,1.29747e-15,1,0.356696
1.095,0,1,0.358289
1.096,1.70044e-15,1,0.359873
1.097,0,1,0.361449
1.098,0,1,0.363016
1.099,1.59408e-15,1,0.364576
1.1,0,1,0.366127
1.101,0,1,0.367671
1.102,2.36055e-16,1,0.369206
1.103,1.73529e-15,1,0.370802
1.104,5.56938e-16,1,0.372396
1.105,1.70113e-15,1,0.373982
1.106,3.19508e-15,1,0.375559
1.107,2.01672e-15,1,0.377129
1.108,1.0093e-15,1,0.378691
1.109,0,1,0.380244
1.11,1.32489e-15,1,0.38179
1.111,0,1,0.383329
1.112,0,1,0.38486
1.113,1.70444e-15,1,0.386383
1.114,0,1,0.3879
1.115,0,1,0.389409
1.116,1.01261e-15,1,0.390911
1.117,1.07609e-15,1,0.392405
1.118,0,1,0.393893
1.119,0,1,0.395374
1.12,0,1,0.396875
1.121,2.43594e-15,1,0.398408
1.122,7.51684e-16,1,0.399935
1.123,5.15606e-16,1,0.401454
1.124,9.86896e-16,1,0.402966
1.125,9.11922e-16,1,0.404471
1.126,3.00627e-15,1,0.405969
1.127,0,1,0.40746
1.128,1.43519e-15,1,0.408945
1.129,1.01096e-15,1,0.410423
1.13,2.22223e-16,1,0.411894
1.131,8.78715e-16,1,0.413359
1.132,0,1,0.414818
1.133,7.46473e-16,1,0.41627
1.134,3.21258e-16,1,0.417716
1.135,0,1,0.419156
1.136,0,1,0.42059
1.137,1.55288e-15,1,0.422018
1.138,2.59368e-16,1,0.423492
1.139,7.6879e-16,1,0.424966
1.14,0,1,0.426434
1.141,3.27652e-16,1,0.427896
1.142,1.90304e-15,1,0.429351
1.143,9.58386e-16,1,0.4308
1.144,0,1,0.432243
1.145,0,1,0.43368
1.146,1.38429e-15,1,0.435112
1.147,1.53019e-15,1,0.436537
1.148,0,1,0.437957
1.149,3.72832e-16,1,0.439371
1.15,1.59148e-16,1,0.440779
1.151,4.95212e-15,1,0.442182
1.152,2.22921e-15,1,0.443579
1.153,2.36527e-15,1,0.444971
1.154,4.29828e-15,1,0.446358
1.155,2.82325e-15,1,0.447759
1.156,4.60743e-15,1,0.449187
1.157,4.25574e-15,1,0.450608
1.158,1.74161e-15,1,0.452024
1.159,2.81843e-15,1,0.453435
1.16,1.03626e-15,1,0.45484
1.161,3.10224e-16,1,0.456239
1.162,3.16148e-16,1,0.457634
1.163,0,1,0.459023
1.164,3.09308e-16,1,0.460407
1.165,0,1,0.461785
1.166,1.03344e-15,1,0.463159
1.167,0,1,0.464527
1.168,6.86688e-16,1,0.465891
1.169,2.11325e-15,1,0.467249
1.17,0,1,0.468602
1.171,0,1,0.469951
1.172,0,1,0.471295
1.173,1.57096e-15,1,0.472675
1.174,9.18735e-16,1,0.474055
1.175,1.72059e-15,1,0.475429
1.176,3.60991e-16,1,0.476799
1.177,1.51063e-15,1,0.478164
1.178,1.51029e-16,1,0.479524
1.179,0,1,0.480879
1.18,3.51725e-15,1,0.482229
1.181,3.96148e-15,1,0.483575
1.182,3.66687e-15,1,0.484916
1.183,2.30728e-15,1,0.486252
1.184,2.40314e-16,1,0.487584
1.185,1.7397e-15,1,0.488911
1.186,3.60654e-15,1,0.490233
1.187,4.05077e-15,1,0.491551
1.188,3.03896e-15,1,0.492865
1.189,4.18957e-15,1,0.494174
1.19,3.75497e-15,1,0.495495
1.191,2.66765e-15,1,0.496836
1.192,4.10137e-15,1,0.498172
1.193,3.36283e-15,1,0.499504
1.194,1.9179e-15,1,0.500831
1.195,3.70923e-15,1,0.502154
1.196,2.97167e-15,1,0.503472
1.197,2.60156e-15,1,0.504787
1.198,1.51425e-15,1,0.506096
1.199,3.29674e-15,1,0.507402
1.2,2.20942e-15,1,0.508703
1.201,7.64493e-16,1,0.51
1.202,3.94384e-16,1,0.511293
1.203,1.81827e-15,1,0.512582
1.204,1.43832e-15,1,0.513867
1.205,2.24516e-18,1,0.515148
1.206,1.42613e-15,1,0.516424
1.207,1.04619e-15,1,0.517697
1.208,6.13277e-16,1,0.518998
1.209,0,1,0.520297
1.21,0,1,0.521593
1.211,2.42831e-17,1,0.522885
1.212,0,1,0.524173
1.213,1.42463e-15,1,0.525457
1.214,5.11096e-16,1,0.526737
1.215,2.81416e-15,1,0.528013
1.216,8.35637e-16,1,0.529285
1.217,2.79092e-15,1,0.530553
1.218,7.45371e-17,1,0.531817
1.219,1.32245e-15,1,0.533078
1.22,3.99079e-16,1,0.534334
1.221,0,1,0.535587
1.222,1.44082e-15,1,0.536837
1.223,5.27289e-16,1,0.538082
1.224,2.12397e-15,1,0.539324
1.225,7.3552e-16,1,0.540574
1.226,0,1,0.54184
1.227,1.61756e-17,1,0.543101
1.228,0,1,0.544359
1.229,3.51983e-16,1,0.545613
1.23,1.95921e-15,1,0.546864
1.231,1.76261e-15,1,0.548111
1.232,0,1,0.549354
1.233,6.8565e-16,1,0.550594
1.234,2.29288e-15,1,0.55183
1.235,6.73674e-16,1,0.553063
1.236,2.62869e-15,1,0.554292
1.237,1.37693e-15,1,0.555518
1.238,0,1,0.55674
1.239,1.71274e-15,1,0.557959
1.24,0,1,0.559174
1.241,6.35779e-16,1,0.560387
1.242,4.39179e-16,1,0.561595
1.243,0,1,0.562824
1.244,4.53815e-16,1,0.564053
1.245,0,1,0.565278
1.246,5.61732e-16,1,0.5665
1.247,0,1,0.567719
1.248,3.21867e-16,1,0.568934
1.249,9.13728e-16,1,0.570146
1.25,1.49477e-15,1,0.571354
1.251,1.02165e-15,1,0.57256
1.252,0,1,0.573762
1.253,2.19455e-15,1,0.574961
1.254,2.42781e-15,1,0.576157
1.255,1.50853e-16,1,0.577349
1.256,3.84113e-16,1,0.578539
1.257,2.76997e-15,1,0.579725
1.258,1.34411e-16,1,0.580908
1.259,7.26273e-16,1,0.582088
1.26,0,1,0.583274
1.261,3.98883e-16,1,0.584471
1.262,2.10564e-15,1,0.585664
1.263,5.84981e-16,1,0.586855
1.264,1.94396e-15,1,0.588042
1.265,0,1,0.589226
1.266,3.26225e-16,1,0.590408
1.267,0,1,0.591586
1.268,0,1,0.592761
1.269,2.21908e-15,1,0.593933
1.27,0,1,0.595103
1.271,6.11186e-16,1,0.596269
1.272,2.31794e-15,1,0.597432
1.273,7.97285e-16,1,0.598593
1.274,0,1,0.59975
1.275,1.34198e-15,1,0.600905
1.276,8.86312e-16,1,0.602057
1.277,0,1,0.603206
1.278,5.9835e-17,1,0.60437
1.279,1.57262e-15,1,0.605532
1.28,0,1,0.606692
1.281,0,1,0.607849
1.282,1.45012e-15,1,0.609003
1.283,8.11294e-16,1,0.610154
1.284,0,1,0.611302
1.285,6.2026e-16,1,0.612448
1.286,3.29214e-16,1,0.613591
1.287,0,1,0.614731
1.288,1.39164e-16,1,0.615868
1.289,3.78094e-15,1,0.617003
1.29,1.7195e-15,1,0.618135
1.291,3.59089e-15,1,0.619265
1.292,2.95206e-15,1,0.620392
1.293,4.82344e-15,1,0.621516
1.294,3.82601e-15,1,0.622637
1.295,3.91837e-15,1,0.623762
1.296,2.44166e-15,1,0.624894
1.297,4.53917e-15,1,0.626024
1.298,0,1,0.627151
1.299,4.45457e-15,1,0.628275
1.3,2.97885e-15,1,0.629396
1.301,3.30597e-15,1,0.630515
1.302,3.25187e-15,1,0.631632
1.303,0,1,0.632746
1.304,1.74467e-15,1,0.633857
1.305,0,1,0.634966
1.306,0,1,0.636073
1.307,8.89746e-16,1,0.637177
1.308,0,1,0.638278
1.309,9.97463e-17,1,0.639377
1.31,1.83964e-15,1,0.640474
1.311,7.20549e-16,1,0.641568
1.312,1.04866e-15,1,0.64266
1.313,0,1,0.64376
1.314,1.47852e-15,1,0.64486
1.315,8.73572e-16,1,0.645957
1.316,3.49604e-15,1,0.647052
1.317,7.39473e-16,1,0.648144
1.318,1.3452e-16,1,0.649234
1.319,2.39838e-15,1,0.650321
1.32,1.44663e-15,1,0.651406
1.321,1.00869e-16,1,0.652489
1.322,1.30171e-15,1,0.65357
1.323,1.41298e-15,1,0.654648
1.324,0,1,0.655724
1.325,9.2028e-16,1,0.656798
1.326,0,1,0.657869
1.327,2.58017e-15,1,0.658938
1.328,1.81228e-16,1,0.660005
1.329,0,1,0.66107
1.33,0,1,0.662136
1.331,3.58821e-15,1,0.663206
1.332,9.61202e-16,1,0.664273
1.333,1.94382e-15,1,0.665339
1.334,1.47924e-15,1,0.666402
1.335,0,1,0.667463
1.336,0,1,0.668522
1.337,2.22924e-15,1,0.669578
1.338,1.76466e-15,1,0.670633
1.339,5.84839e-16,1,0.671685
1.34,2.27187e-15,1,0.672736
1.341,1.80926e-15,1,0.673784
1.342,0,1,0.67483
1.343,2.31647e-15,1,0.675874
1.344,1.14649e-15,1,0.676915
1.345,1.37747e-15,1,0.677955
1.346,2.3591e-15,1,0.678993
1.347,1.89649e-15,1,0.680029
1.348,1.79527e-15,1,0.681068
1.349,1.54987e-15,1,0.682106
1.35,5.85299e-16,1,0.683143
1.351,2.49151e-15,1,0.684177
1.352,8.11705e-16,1,0.685209
1.353,0,1,0.686239
1.354,1.75335e-15,1,0.687267
1.355,1.50795e-15,1,0.688294
1.356,1.25075e-15,1,0.689318
1.357,2.44959e-15,1,0.69034
1.358,7.69784e-16,1,0.69136
1.359,1.22979e-15,1,0.692379
1.36,0,1,0.693395
1.361,1.98167e-17,1,0.69441
1.362,1.20883e-15,1,0.695422
1.363,1.69243e-15,1,0.696433
1.364,0,1,0.697442
1.365,1.93042e-15,1,0.69845
1.366,0,1,0.699459
1.367,0,1,0.700466
1.368,1.31832e-15,1,0.701472
1.369,8.50296e-16,1,0.702475
1.37,0,1,0.703477
1.371,0,1,0.704477
1.372,0,1,0.705475
1.373,1.24195e-15,1,0.706471
1.374,3.66832e-15,1,0.707465
1.375,3.94111e-15,1,0.708457
1.376,1.34705e-15,1,0.709448
1.377,3.05621e-15,1,0.710437
1.378,2.61376e-15,1,0.711424
1.379,2.88655e-15,1,0.712409
1.38,4.58195e-15,1,0.713393
1.381,2.00166e-15,1,0.714375
1.382,2.27444e-15,1,0.715355
1.383,1.11836e-15,1,0.716335
1.384,7.72145e-16,1,0.717313
1.385,3.29475e-15,1,0.718289
1.386,5.81539e-15,1,0.719264
1.387,4.75197e-15,1,0.720237
1.388,1.53694e-15,1,0.721209
1.389,1.90597e-15,1,0.722178
1.39,3.71137e-15,1,0.723146
1.391,3.36516e-15,1,0.724113
1.392,5.17056e-15,1,0.725077
1.393,4.09337e-15,1,0.72604
1.394,1.60735e-15,1,0.727002
1.395,5.5506e-15,1,0.727961
1.396,2.33557e-15,1,0.728919
1.397,3.43557e-15,1,0.729876
1.398,9.25942e-16,1,0.73083
1.399,4.16378e-15,1,0.731783
1.4,4.83843e-15,1,0.732735
1.401,3.8433e-15,1,0.733684
1.402,2.87375e-15,1,0.734632
1.403,2.59584e-15,1,0.735578
1.404,2.33169e-15,1,0.736522
1.405,4.94619e-15,1,0.737465
1.406,3.95107e-15,1,0.738407
1.407,1.53531e-15,1,0.739347
1.408,1.9864e-15,1,0.740285
1.409,3.15469e-15,1,0.741222
1.41,7.36965e-16,1,0.742157
1.411,1.90526e-15,1,0.74309
1.412,5.22713e-15,1,0.744023
1.413,2.8094e-15,1,0.744953
1.414,1.81625e-15,1,0.745882
1.415,3.71355e-15,1,0.74681
1.416,3.43563e-15,1,0.747736
1.417,3.02666e-16,1,0.74866
1.418,4.68341e-15,1,0.749581
1.419,3.40627e-15,1,0.7505
1.42,2.86011e-15,1,0.751417
1.421,2.32378e-15,1,0.752333
1.422,3.20022e-15,1,0.753248
1.423,4.8155e-15,1,0.754161
1.424,3.53836e-15,1,0.755072
1.425,2.9922e-15,1,0.755983
1.426,2.45587e-15,1,0.756891
1.427,2.6151e-15,1,0.757799
1.428,3.50138e-15,1,0.758705
1.429,4.40142e-15,1,0.759609
1.43,9.70706e-16,1,0.760512
1.431,3.29336e-15,1,0.761414
1.432,2.74719e-15,1,0.762314
1.433,2.91626e-15,1,0.763213
1.434,3.80254e-15,1,0.764111
1.435,1.14172e-15,1,0.765005
1.436,2.55952e-15,1,0.765895
1.437,5.42551e-15,1,0.766784
1.438,1.08208e-15,1,0.767671
1.439,3.23086e-15,1,0.768557
1.44,3.20245e-15,1,0.769441
1.441,3.90502e-15,1,0.770325
1.442,1.74861e-15,1,0.771207
1.443,2.45118e-15,1,0.772087
1.444,4.58619e-15,1,0.772967
1.445,3.13517e-15,1,0.773845
1.446,2.39153e-15,1,0.774722
1.447,2.3887e-15,1,0.775597
1.448,3.80651e-15,1,0.776471
1.449,3.06286e-15,1,0.777344
1.45,3.05806e-15,1,0.778216
1.451,4.47784e-15,1,0.779086
1.452,4.44943e-15,1,0.779955
1.453,1.39139e-15,1,0.780817
1.454,3.55149e-15,1,0.781677
1.455,3.57178e-15,1,0.782536
1.456,4.30731e-15,1,0.783393
1.457,4.32957e-15,1,0.784249
1.458,2.92726e-15,1,0.785104
1.459,2.94755e-15,1,0.785958
1.46,4.39045e-15,1,0.78681
1.461,8.36521e-16,1,0.787662
1.462,1.16004e-16,1,0.788512
1.463,2.29971e-15,1,0.789361
1.464,2.32e-15,1,0.790209
1.465,2.34029e-15,1,0.791055
1.466,3.07779e-15,1,0.791901
1.467,2.29267e-16,1,0.792745
1.468,2.40314e-15,1,0.793588
1.469,3.14063e-15,1,0.79443
1.47,0,1,0.795267
1.471,3.00526e-15,1,0.796098
1.472,0,1,0.796928
1.473,3.7236e-15,1,0.797757
1.474,0,1,0.798584
1.475,1.62323e-16,1,0.799411
1.476,1.5914e-15,1,0.800236
1.477,1.7526e-16,1,0.80106
1.478,3.75791e-15,1,0.801884
1.479,3.05701e-15,1,0.802706
1.48,3.77872e-15,1,0.803527
1.481,4.49256e-15,1,0.804346
1.482,3.07642e-15,1,0.805165
1.483,3.08289e-15,1,0.805983
1.484,2.35838e-15,1,0.806799
1.485,3.81303e-15,1,0.807615
1.486,2.37132e-15,1,0.808429
1.487,1.66255e-15,1,0.809243
1.488,4.68126e-15,1,0.810046
1.489,4.31582e-15,1,0.810847
1.49,3.23319e-15,1,0.811647
1.491,3.58299e-15,1,0.812447
1.492,2.50035e-15,1,0.813245
1.493,2.85015e-15,1,0.814042
1.494,1.03851e-15,1,0.814838
1.495,2.83452e-15,1,0.815633
1.496,2.46909e-15,1,0.816427
1.497,5.67787e-15,1,0.81722
1.498,3.88983e-15,1,0.818012
1.499,3.52439e-15,1,0.818802
1.5,2.42799e-15,1,0.819592
1.501,4.224e-15,1,0.820381
1.502,9.89749e-16,1,0.821169
1.503,3.49313e-15,1,0.821956
1.504,5.99455e-15,1,0.822742
1.505,2.98276e-15,1,0.823523
1.506,3.30983e-15,1,0.824295
1.507,2.19069e-15,1,0.825067
1.508,3.94037e-15,1,0.825837
1.509,2.82123e-15,1,0.826607
1.51,5.99351e-15,1,0.827376
1.511,4.87437e-15,1,0.828143
1.512,3.75524e-15,1,0.82891
1.513,2.6361e-15,1,0.829676
1.514,2.96317e-15,1,0.830441
1.515,3.98187e-15,1,0.831205
1.516,4.30895e-15,1,0.831968
1.517,6.05862e-15,1,0.83273
1.518,5.64685e-15,1,0.833491
1.519,6.68916e-15,1,0.834251
1.52,5.56019e-15,1,0.835011
1.521,5.15629e-15,1,0.835769
1.522,3.33175e-15,1,0.836527
1.523,6.96319e-15,1,0.837272
1.524,6.40147e-15,1,0.838015
1.525,8.00317e-15,1,0.838757
1.526,5.28e-15,1,0.839498
1.527,1.84946e-15,1,0.840238
1.528,4.15656e-15,1,0.840977
1.529,7.27989e-16,1,0.841715
1.53,3.03508e-15,1,0.842453
1.531,2.47336e-15,1,0.84319
1.532,4.06522e-15,1,0.843925
1.533,2.7981e-15,1,0.84466
1.534,7.80333e-16,1,0.845395
1.535,3.09726e-15,1,0.846128
1.536,3.74096e-16,1,0.84686
1.537,1.25859e-15,1,0.847592
1.538,6.96866e-16,1,0.848323
1.539,8.42513e-16,1,0.849053
1.54,7.15258e-18,1,0.849777
1.541,0,1,0.850491
1.542,0,1,0.851204
1.543,2.83772e-15,1,0.851917
1.544,2.09794e-15,1,0.852628
1.545,1.36798e-15,1,0.853339
1.546,2.80145e-15,1,0.854049
1.547,2.06166e-15,1,0.854759
1.548,3.48529e-15,1,0.855467
1.549,6.01754e-16,1,0.856175
1.55,0,1,0.856882
1.551,1.29543e-15,1,0.857588
1.552,2.71906e-15,1,0.858294
1.553,0,1,0.858999
1.554,2.7034e-15,1,0.859703
1.555,5.17396e-16,1,0.860406
1.556,4.10247e-15,1,0.861108
1.557,1.21107e-15,1,0.86181
1.558,0,1,0.862498
1.559,2.158e-16,1,0.863182
1.56,1.98078e-15,1,0.863866
1.561,0,1,0.864549
1.562,1.92866e-15,1,0.865231
1.563,2.24743e-15,1,0.865913
1.564,3.30701e-15,1,0.866594
1.565,5.06412e-15,1,0.867274
1.566,4.67749e-15,1,0.867954
1.567,2.86826e-15,1,0.868633
1.568,2.47179e-15,1,0.869311
1.569,1.36992e-15,1,0.869988
1.57,0,1,0.870665
1.571,2.75024e-15,1,0.871341
1.572,3.79999e-15,1,0.872016
1.573,3.41336e-15,1,0.872691
1.574,4.4631e-15,1,0.873365
1.575,3.87517e-15,1,0.874032
1.576,2.88776e-15,1,0.874688
1.577,2.60576e-15,1,0.875344
1.578,1.62622e-15,1,0.875999
1.579,2.76682e-15,1,0.876653
1.58,3.22563e-15,1,0.877306
1.581,2.95149e-15,1,0.877959
1.582,4.8329e-15,1,0.878611
1.583,9.76676e-16,1,0.879262
1.584,3.57136e-15,1,0.879913
1.585,2.58395e-15,1,0.880564
1.586,1.59654e-15,1,0.881213
1.587,0,1,0.881862
1.588,0,1,0.88251
1.589,2.21641e-15,1,0.883158
1.59,4.98029e-16,1,0.883805
1.591,1.67207e-15,1,0.884452
1.592,6.82697e-16,1,0.885098
1.593,1.81704e-15,1,0.885728
1.594,1.39089e-15,1,0.886355
1.595,1.6603e-15,1,0.886981
1.596,0,1,0.887607
1.597,7.96199e-16,1,0.888232
1.598,0,1,0.888857
1.599,6.39464e-16,1,0.889481
1.6,9.18716e-16,1,0.890104
1.601,1.1901e-15,1,0.890727
1.602,4.67446e-17,1,0.891349
1.603,3.1616e-16,1,0.891971
1.604,5.95412e-16,1,0.892592
1.605,3.02824e-15,1,0.893213
1.606,0,1,0.893833
1.607,2.87151e-15,1,0.894452
1.608,3.15076e-15,1,0.895071
1.609,1.2784e-15,1,0.89569
1.61,3.05547e-15,1,0.896301
1.611,2.36975e-15,1,0.896899
1.612,2.43073e-15,1,0.897497
1.613,3.32235e-16,1,0.898095
1.614,1.80599e-15,1,0.898692
1.615,1.86894e-15,1,0.899288
1.616,0,1,0.899884
1.617,1.25404e-15,1,0.900479
1.618,0,1,0.901074
1.619,6.29297e-16,1,0.901668
1.62,6.90282e-16,1,0.902262
1.621,7.43399e-16,1,0.902856
1.622,2.21912e-15,1,0.903448
1.623,1.28494e-16,1,0.904041
1.624,3.76566e-15,1,0.904632
1.625,2.20957e-16,1,0.905224
1.626,9.99147e-16,1,0.905814
1.627,1.75766e-15,1,0.906405
1.628,8.2375e-17,1,0.906978
1.629,2.67036e-15,1,0.907548
1.63,3.10674e-15,1,0.908117
1.631,2.82591e-15,1,0.908686
1.632,0,1,0.909254
1.633,0,1,0.909822
1.634,1.27802e-15,1,0.91039
1.635,0,1,0.910957
1.636,0,1,0.911523
1.637,1.14487e-15,1,0.912089
1.638,1.58125e-15,1,0.912655
1.639,2.74663e-15,1,0.91322
1.64,1.02156e-15,1,0.913785
1.641,2.5496e-17,1,0.914349
1.642,5.4823e-15,1,0.914913
1.643,4.48624e-15,1,0.915476
1.644,4.20541e-15,1,0.916039
1.645,4.91302e-15,1,0.916595
1.646,2.849e-15,1,0.917136
1.647,4.38083e-15,1,0.917678
1.648,3.02417e-15,1,0.918218
1.649,3.11372e-15,1,0.918759
1.65,3.92835e-15,1,0.919299
1.651,3.27906e-15,1,0.919839
1.652,3.37649e-15,1,0.920378
1.653,4.90045e-15,1,0.920917
1.654,2.83642e-15,1,0.921455
1.655,6.51003e-15,1,0.921993
1.656,4.44797e-15,1,0.92253
1.657,2.38395e-15,1,0.923068
1.658,3.90594e-15,1,0.923604
1.659,7.57168e-15,1,0.924141
1.66,2.64868e-15,1,0.924676
1.661,4.87804e-15,1,0.925212
1.662,2.81401e-15,1,0.925747
1.663,5.80246e-15,1,0.926264
1.664,5.87923e-15,1,0.926778
1.665,3.8103e-15,1,0.927291
1.666,4.61215e-15,1,0.927804
1.667,4.69483e-15,1,0.928316
1.668,5.50456e-15,1,0.928828
1.669,2.71252e-15,1,0.92934
1.67,3.5124e-15,1,0.929851
1.671,3.60492e-15,1,0.930362
1.672,1.52025e-15,1,0.930872
1.673,2.32997e-15,1,0.931383
1.674,0,1,0.931892
1.675,3.2145e-15,1,0.932402
1.676,1.14557e-15,1,0.932911
1.677,0,1,0.933419
1.678,4.18368e-15,1,0.933928
1.679,5.70077e-15,1,0.934436
1.68,2.17184e-15,1,0.934936
1.681,3.65364e-15,1,0.935422
1.682,5.83494e-15,1,0.935907
1.683,5.15529e-15,1,0.936393
1.684,5.19875e-15,1,0.936878
1.685,3.79403e-15,1,0.937362
1.686,3.11438e-15,1,0.937846
1.687,2.4426e-15,1,0.93833
1.688,2.47032e-15,1,0.938814
1.689,1.08331e-15,1,0.939297
1.69,0,1,0.93978
1.691,3.30019e-15,1,0.940262
1.692,0,1,0.940745
1.693,1.22369e-15,1,0.941227
1.694,5.44047e-16,1,0.941708
1.695,2.74108e-15,1,0.942189
1.696,0,1,0.94267
1.697,1.37392e-15,1,0.943151
1.698,0,1,0.943613
1.699,0,1,0.944071
1.7,3.13515e-15,1,0.944529
1.701,1.81608e-15,1,0.944987
1.702,1.93338e-15,1,0.945444
1.703,2.76592e-15,1,0.945901
1.704,3.59059e-15,1,0.946358
1.705,0,1,0.946814
1.706,2.39669e-15,1,0.94727
1.707,1.06778e-15,1,0.947726
1.708,1.91015e-15,1,0.948182
1.709,2.74269e-15,1,0.948637
1.71,3.56736e-15,1,0.949092
1.711,4.40974e-15,1,0.949547
1.712,5.94964e-15,1,0.950001
1.713,3.20796e-15,1,0.950455
1.714,1.17169e-15,1,0.950909
1.715,2.69905e-15,1,0.951355
1.716,3.68657e-15,1,0.951787
1.717,3.94902e-15,1,0.952217
1.718,4.91883e-15,1,0.952648
1.719,8.83953e-16,1,0.953079
1.72,1.13853e-15,1,0.953509
1.721,2.11621e-15,1,0.953939
1.722,5.96271e-15,1,0.954368
1.723,4.07158e-15,1,0.954797
1.724,4.33403e-15,1,0.955227
1.725,1.72766e-15,1,0.955655
1.726,5.53726e-16,1,0.956084
1.727,4.40809e-15,1,0.956512
1.728,1.78599e-15,1,0.95694
1.729,5.64035e-15,1,0.957368
1.73,1.59761e-15,1,0.957796
1.731,4.721e-15,1,0.958223
1.732,5.70655e-15,1,0.95865
1.733,5.82261e-15,1,0.959058
1.734,4.34749e-15,1,0.959462
1.735,5.74316e-15,1,0.959866
1.736,6.41375e-15,1,0.96027
1.737,4.23126e-15,1,0.960673
1.738,8.49377e-15,1,0.961076
1.739,9.16436e-15,1,0.961479
1.74,4.83026e-15,1,0.961882
1.741,3.35514e-15,1,0.962284
1.742,4.02573e-15,1,0.962687
1.743,7.58088e-15,1,0.963089
1.744,3.22907e-15,1,0.963491
1.745,4.62474e-15,1,0.963892
1.746,8.17201e-15,1,0.964294
1.747,3.11284e-15,1,0.964695
1.748,2.36279e-15,1,0.965096
1.749,5.91007e-15,1,0.965496
1.75,4.79223e-15,1,0.965889
1.751,4.48047e-15,1,0.966267
1.752,2.00332e-15,1,0.966645
1.753,4.55251e-15,1,0.967022
1.754,5.66925e-15,1,0.967399
1.755,2.47883e-15,1,0.967776
